Ticker,Date,Close,High,Low,Open,Volume
ADANIENT.NS,2020-01-01,205.82708740234375,208.40177360454817,204.63875442102312,206.96588888078088,1553127
ADANIENT.NS,2020-01-02,209.14450073242188,211.12503580585442,205.48051386862832,205.97564763698648,2991937
ADANIENT.NS,2020-01-03,206.27273559570312,210.2833222323699,203.79706669779569,208.20375431401416,2512421
ADANIENT.NS,2020-01-06,197.60787963867188,205.72806999299343,195.82539514375185,205.72806999299343,4353179
ADANIENT.NS,2020-01-07,202.06407165527344,203.69800686695493,198.5981356581342,198.5981356581342,2966120
ADANIENT.NS,2020-01-08,199.53887939453125,201.56893056923656,192.65652404541135,199.04374569876316,5762654
ADANIENT.NS,2020-01-09,205.97561645507812,206.8668510590886,199.93497935146576,199.93497935146576,3496063
ADANIENT.NS,2020-01-10,207.06494140625,210.92697863287967,203.89607330100384,205.97564110628625,2769132
ADANIENT.NS,2020-01-13,211.52113342285156,214.14533612196743,207.5600636217516,208.59983235631464,3527267
ADANIENT.NS,2020-01-14,212.26382446289062,213.4026259353705,209.7881559485592,211.37257473156242,1775182
ADANIENT.NS,2020-01-15,214.49192810058594,215.87829643726306,210.431825655589,212.41236048528867,1982079
ADANIENT.NS,2020-01-16,217.85882568359375,220.33449415727094,214.88802351518112,215.58120766575448,4280379
ADANIENT.NS,2020-01-17,226.17709350585938,227.01882693446242,211.62016411379778,213.89778241153275,10810744
ADANIENT.NS,2020-01-20,224.3450927734375,229.9896141900607,221.96844183835051,227.31589510958466,4546367
ADANIENT.NS,2020-01-21,222.06747436523438,224.79070983682587,218.35397144942777,222.1665071537687,2813526
ADANIENT.NS,2020-01-22,223.701416015625,225.78098375219238,218.99764552078764,222.6121308619374,2939366
ADANIENT.NS,2020-01-23,227.3654022216797,228.9498210034381,223.55286666849204,223.8004335197307,2650092
ADANIENT.NS,2020-01-24,227.51393127441406,230.13813379559954,216.86855690575268,223.3052948961061,7154795
ADANIENT.NS,2020-01-27,228.30615234375,234.14872396607853,223.8499490388373,227.26636855054744,5293975
ADANIENT.NS,2020-01-28,227.66249084472656,232.21772736160463,226.87028893768934,229.98962549992612,2161711
ADANIENT.NS,2020-01-29,230.03912353515625,236.03024441818653,228.7517728735518,229.4449570420214,3738186
ADANIENT.NS,2020-01-30,229.2469024658203,230.48473671239603,225.9790170328042,230.03911940568503,2192123
ADANIENT.NS,2020-01-31,227.21685791015625,232.26722782768053,224.9392398079339,228.75177544275925,2720308
ADANIENT.NS,2020-02-03,218.7500762939453,222.46357927614412,213.50167083399683,219.5422932855375,2720614
ADANIENT.NS,2020-02-04,223.2557830810547,224.93923464482802,219.88887995350802,220.48303132939668,2028088
ADANIENT.NS,2020-02-05,233.95069885253906,236.9710177751258,220.38403700991933,224.54315752301898,8985919
ADANIENT.NS,2020-02-06,234.19825744628906,241.22916255115746,231.82162155437206,235.08949212818732,8852675
ADANIENT.NS,2020-02-07,237.16903686523438,239.7932393709878,232.96040051167594,234.09920195146756,5052443
ADANIENT.NS,2020-02-10,242.12037658691406,242.7640443455889,235.23802125609075,237.1690396423964,5588211
